bidder_tender_id,tender_id,bidder_id,bid_submission_date,bid_status,participation_status,bid_amount,documents_submitted_count,submission_completeness,scenario,difficulty_level,synthetic_flag
BT-000068,TND-000018,BID-000253,2025-03-09,SUBMITTED,ACTIVE,108498500.0,6,0.857,INVALID_DOCUMENT,MEDIUM,True
BT-000069,TND-000018,BID-000498,2025-03-09,SUBMITTED,ACTIVE,98990200.0,5,0.714,FULLY_COMPLIANT,MEDIUM,True
BT-000070,TND-000018,BID-001129,2025-03-09,SUBMITTED,ACTIVE,99222000.0,6,0.857,FULLY_COMPLIANT,MEDIUM,True
BT-000080,TND-000021,BID-001617,2025-11-29,SUBMITTED,ACTIVE,4703600.0,6,0.857,FULLY_COMPLIANT,MEDIUM,True
BT-000081,TND-000021,BID-000498,2025-11-29,SUBMITTED,ACTIVE,4515600.0,6,0.857,MINOR_ISSUES,MEDIUM,True
BT-000082,TND-000021,BID-000175,2025-11-29,SUBMITTED,ACTIVE,4835600.0,5,0.714,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000083,TND-000022,BID-001402,2025-01-27,SUBMITTED,ACTIVE,15715300.0,6,0.857,INVALID_DOCUMENT,MEDIUM,True
BT-000084,TND-000022,BID-000512,2025-01-27,SUBMITTED,ACTIVE,20421000.0,6,0.857,FULLY_COMPLIANT,MEDIUM,True
BT-000085,TND-000022,BID-000544,2025-01-27,SUBMITTED,ACTIVE,16387000.0,6,0.857,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000086,TND-000022,BID-001383,2025-01-27,SUBMITTED,ACTIVE,16307500.0,6,0.857,MINOR_ISSUES,MEDIUM,True
BT-000087,TND-000023,BID-001218,2026-07-02,SUBMITTED,ACTIVE,199016100.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000088,TND-000023,BID-001514,2026-07-02,SUBMITTED,ACTIVE,189814200.0,5,0.833,INSUFFICIENT_EVIDENCE,EASY,True
BT-000089,TND-000023,BID-000671,2026-07-02,SUBMITTED,ACTIVE,191928400.0,5,0.833,FULLY_COMPLIANT,EASY,True
BT-000090,TND-000024,BID-001596,2025-02-19,SUBMITTED,ACTIVE,70622600.0,3,0.429,MISSING_DOCUMENT,EASY,True
BT-000091,TND-000024,BID-001694,2025-02-19,SUBMITTED,ACTIVE,85783200.0,6,0.857,PARTIAL_COMPLIANCE,EASY,True
BT-000092,TND-000024,BID-001005,2025-02-19,SUBMITTED,ACTIVE,78660000.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000093,TND-000025,BID-001814,2025-09-27,SUBMITTED,ACTIVE,46983500.0,7,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000094,TND-000025,BID-000499,2025-09-27,SUBMITTED,ACTIVE,43130400.0,7,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000095,TND-000025,BID-000503,2025-09-27,SUBMITTED,ACTIVE,41837800.0,7,1.0,INCONSISTENT_DOCUMENT,MEDIUM,True
BT-000096,TND-000025,BID-001011,2025-09-27,SUBMITTED,ACTIVE,42460200.0,6,0.857,FULLY_COMPLIANT,MEDIUM,True
BT-000097,TND-000026,BID-001215,2025-06-01,SUBMITTED,ACTIVE,50971800.0,6,0.857,FULLY_COMPLIANT,EASY,True
BT-000098,TND-000026,BID-000586,2025-06-01,SUBMITTED,ACTIVE,49137000.0,6,0.857,MINOR_ISSUES,EASY,True
BT-000099,TND-000026,BID-000779,2025-06-01,SUBMITTED,ACTIVE,49169700.0,6,0.857,MINOR_ISSUES,EASY,True
BT-000100,TND-000027,BID-000072,2025-05-08,SUBMITTED,ACTIVE,185626100.0,5,0.714,INVALID_DOCUMENT,MEDIUM,True
BT-000101,TND-000027,BID-000207,2025-05-08,SUBMITTED,ACTIVE,197572600.0,6,0.857,MINOR_ISSUES,MEDIUM,True
BT-000102,TND-000027,BID-000750,2025-05-08,SUBMITTED,ACTIVE,179486700.0,6,0.857,HARD_AMBIGUOUS_CASE,MEDIUM,True
BT-000103,TND-000027,BID-000257,2025-05-08,SUBMITTED,ACTIVE,180085500.0,7,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000104,TND-000027,BID-001225,2025-05-08,SUBMITTED,ACTIVE,209925100.0,7,1.0,INCONSISTENT_DOCUMENT,MEDIUM,True
BT-000105,TND-000028,BID-000439,2025-04-06,SUBMITTED,ACTIVE,23906100.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000106,TND-000028,BID-000276,2025-04-06,SUBMITTED,ACTIVE,25053200.0,7,1.0,MINOR_ISSUES,EASY,True
BT-000107,TND-000028,BID-000466,2025-04-06,SUBMITTED,ACTIVE,30155200.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000108,TND-000028,BID-001587,2025-04-06,SUBMITTED,ACTIVE,26205600.0,6,0.857,PARTIAL_COMPLIANCE,EASY,True
BT-000109,TND-000028,BID-001946,2025-04-06,SUBMITTED,ACTIVE,28060700.0,6,0.857,PARTIAL_COMPLIANCE,EASY,True
BT-000110,TND-000029,BID-001743,2025-02-09,SUBMITTED,ACTIVE,62315100.0,6,0.857,HARD_AMBIGUOUS_CASE,MEDIUM,True
BT-000111,TND-000029,BID-001921,2025-02-09,SUBMITTED,ACTIVE,81975500.0,7,1.0,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000112,TND-000029,BID-000879,2025-02-09,SUBMITTED,ACTIVE,63898800.0,7,1.0,EXPIRED_DOCUMENT,MEDIUM,True
BT-000113,TND-000029,BID-001180,2025-02-09,SUBMITTED,ACTIVE,63490500.0,5,0.714,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000114,TND-000029,BID-000374,2025-02-09,SUBMITTED,ACTIVE,70120100.0,7,1.0,INCONSISTENT_DOCUMENT,MEDIUM,True
BT-000115,TND-000030,BID-000437,2025-09-01,SUBMITTED,ACTIVE,233494000.0,6,0.857,FULLY_COMPLIANT,EASY,True
BT-000116,TND-000030,BID-000984,2025-09-01,SUBMITTED,ACTIVE,222971800.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000117,TND-000030,BID-001153,2025-09-01,SUBMITTED,ACTIVE,176200300.0,4,0.571,FULLY_COMPLIANT,EASY,True
BT-000118,TND-000030,BID-001901,2025-09-01,SUBMITTED,ACTIVE,186816000.0,6,0.857,INSUFFICIENT_EVIDENCE,EASY,True
BT-000119,TND-000031,BID-000248,2026-09-29,SUBMITTED,ACTIVE,163671000.0,5,0.833,FULLY_COMPLIANT,EASY,True
BT-000120,TND-000031,BID-000180,2026-09-29,SUBMITTED,ACTIVE,157984800.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000121,TND-000031,BID-000893,2026-09-29,SUBMITTED,ACTIVE,135232500.0,6,1.0,MINOR_ISSUES,EASY,True
BT-000122,TND-000031,BID-001235,2026-09-29,SUBMITTED,ACTIVE,151180200.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000123,TND-000032,BID-001309,2025-02-02,SUBMITTED,ACTIVE,144635100.0,6,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000124,TND-000032,BID-001822,2025-02-02,SUBMITTED,ACTIVE,170301300.0,5,0.833,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000125,TND-000032,BID-001453,2025-02-02,SUBMITTED,ACTIVE,185411300.0,6,1.0,INVALID_DOCUMENT,MEDIUM,True
BT-000126,TND-000032,BID-001816,2025-02-02,SUBMITTED,ACTIVE,187664500.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000127,TND-000033,BID-000938,2025-02-20,SUBMITTED,ACTIVE,203495000.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000128,TND-000033,BID-000102,2025-02-20,SUBMITTED,ACTIVE,259400100.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000129,TND-000033,BID-000792,2025-02-20,SUBMITTED,ACTIVE,219454500.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000130,TND-000033,BID-000215,2025-02-20,SUBMITTED,ACTIVE,201296400.0,5,0.833,MISSING_DOCUMENT,MEDIUM,True
BT-000131,TND-000033,BID-001410,2025-02-20,SUBMITTED,ACTIVE,269950000.0,3,0.5,MISSING_DOCUMENT,MEDIUM,True
BT-000132,TND-000034,BID-001189,2026-07-07,SUBMITTED,ACTIVE,70637400.0,6,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000133,TND-000034,BID-001833,2026-07-07,SUBMITTED,ACTIVE,63589100.0,6,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000134,TND-000034,BID-001274,2026-07-07,SUBMITTED,ACTIVE,53825900.0,6,1.0,INCONSISTENT_DOCUMENT,MEDIUM,True
BT-000135,TND-000035,BID-000679,2025-06-07,SUBMITTED,ACTIVE,28445700.0,5,0.833,MINOR_ISSUES,EASY,True
BT-000136,TND-000035,BID-001526,2025-06-07,SUBMITTED,ACTIVE,24947400.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000137,TND-000035,BID-000907,2025-06-07,SUBMITTED,ACTIVE,25935500.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000138,TND-000035,BID-001665,2025-06-07,SUBMITTED,ACTIVE,28222000.0,5,0.833,FULLY_COMPLIANT,EASY,True
BT-000139,TND-000036,BID-000382,2025-12-12,SUBMITTED,ACTIVE,99211100.0,5,0.833,INSUFFICIENT_EVIDENCE,HARD,True
BT-000140,TND-000036,BID-001268,2025-12-12,SUBMITTED,ACTIVE,99315600.0,6,1.0,MINOR_ISSUES,HARD,True
BT-000141,TND-000036,BID-000248,2025-12-12,SUBMITTED,ACTIVE,112193700.0,6,1.0,INCONSISTENT_DOCUMENT,HARD,True
BT-000142,TND-000037,BID-000614,2025-08-22,SUBMITTED,ACTIVE,58756900.0,5,0.714,FULLY_COMPLIANT,EASY,True
BT-000143,TND-000037,BID-000709,2025-08-22,SUBMITTED,ACTIVE,72851500.0,5,0.714,INVALID_DOCUMENT,EASY,True
BT-000144,TND-000037,BID-001120,2025-08-22,SUBMITTED,ACTIVE,60300900.0,7,1.0,INVALID_DOCUMENT,EASY,True
BT-000145,TND-000037,BID-001061,2025-08-22,SUBMITTED,ACTIVE,65863300.0,6,0.857,FULLY_COMPLIANT,EASY,True
BT-000146,TND-000037,BID-001004,2025-08-22,SUBMITTED,ACTIVE,65927200.0,7,1.0,PARTIAL_COMPLIANCE,EASY,True
BT-000151,TND-000039,BID-001925,2025-07-07,SUBMITTED,ACTIVE,161690800.0,7,1.0,EXPIRED_DOCUMENT,EASY,True
BT-000152,TND-000039,BID-000906,2025-07-07,SUBMITTED,ACTIVE,188685500.0,6,0.857,HARD_AMBIGUOUS_CASE,EASY,True
BT-000153,TND-000039,BID-000015,2025-07-07,SUBMITTED,ACTIVE,161482900.0,6,0.857,FULLY_COMPLIANT,EASY,True
BT-000154,TND-000039,BID-001667,2025-07-07,SUBMITTED,ACTIVE,184326600.0,6,0.857,PARTIAL_COMPLIANCE,EASY,True
BT-000162,TND-000042,BID-000500,2026-02-28,SUBMITTED,ACTIVE,100156200.0,6,1.0,INSUFFICIENT_EVIDENCE,EASY,True
BT-000163,TND-000042,BID-000165,2026-02-28,SUBMITTED,ACTIVE,107796300.0,5,0.833,INSUFFICIENT_EVIDENCE,EASY,True
BT-000164,TND-000042,BID-001789,2026-02-28,SUBMITTED,ACTIVE,99622300.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000165,TND-000042,BID-000546,2026-02-28,SUBMITTED,ACTIVE,84608900.0,5,0.833,FULLY_COMPLIANT,EASY,True
BT-000166,TND-000042,BID-000416,2026-02-28,SUBMITTED,ACTIVE,110545000.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000170,TND-000044,BID-000883,2026-07-01,SUBMITTED,ACTIVE,45949600.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000171,TND-000044,BID-000195,2026-07-01,SUBMITTED,ACTIVE,45633700.0,6,0.857,MINOR_ISSUES,EASY,True
BT-000172,TND-000044,BID-000635,2026-07-01,SUBMITTED,ACTIVE,34320300.0,7,1.0,EXPIRED_DOCUMENT,EASY,True
BT-000173,TND-000044,BID-001924,2026-07-01,SUBMITTED,ACTIVE,43018100.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000182,TND-000047,BID-000294,2025-06-07,SUBMITTED,ACTIVE,161311000.0,6,1.0,EXPIRED_DOCUMENT,MEDIUM,True
BT-000183,TND-000047,BID-000898,2025-06-07,SUBMITTED,ACTIVE,144979000.0,6,1.0,HARD_AMBIGUOUS_CASE,MEDIUM,True
BT-000184,TND-000047,BID-000340,2025-06-07,SUBMITTED,ACTIVE,131756900.0,6,1.0,EXPIRED_DOCUMENT,MEDIUM,True
BT-000185,TND-000048,BID-000060,2025-07-01,SUBMITTED,ACTIVE,214335000.0,5,0.833,FULLY_COMPLIANT,HARD,True
BT-000186,TND-000048,BID-001284,2025-07-01,SUBMITTED,ACTIVE,202266500.0,6,1.0,PARTIAL_COMPLIANCE,HARD,True
BT-000187,TND-000048,BID-001710,2025-07-01,SUBMITTED,ACTIVE,194368600.0,3,0.5,MISSING_DOCUMENT,HARD,True
BT-000188,TND-000048,BID-001407,2025-07-01,SUBMITTED,ACTIVE,203605300.0,5,0.833,HARD_AMBIGUOUS_CASE,HARD,True
BT-000189,TND-000048,BID-001233,2025-07-01,SUBMITTED,ACTIVE,197185600.0,3,0.5,MISSING_DOCUMENT,HARD,True
BT-000190,TND-000049,BID-000514,2026-08-02,SUBMITTED,ACTIVE,38465800.0,6,1.0,PARTIAL_COMPLIANCE,HARD,True
BT-000191,TND-000049,BID-000285,2026-08-02,SUBMITTED,ACTIVE,31896800.0,6,1.0,FULLY_COMPLIANT,HARD,True
BT-000192,TND-000049,BID-000190,2026-08-02,SUBMITTED,ACTIVE,33562900.0,5,0.833,INSUFFICIENT_EVIDENCE,HARD,True
BT-000193,TND-000049,BID-001058,2026-08-02,SUBMITTED,ACTIVE,33126200.0,6,1.0,INVALID_DOCUMENT,HARD,True
BT-000194,TND-000050,BID-000110,2025-12-26,SUBMITTED,ACTIVE,238269700.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000195,TND-000050,BID-001156,2025-12-26,SUBMITTED,ACTIVE,246831800.0,6,0.857,FULLY_COMPLIANT,EASY,True
BT-000196,TND-000050,BID-000555,2025-12-26,SUBMITTED,ACTIVE,230541100.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000197,TND-000050,BID-000394,2025-12-26,SUBMITTED,ACTIVE,197155600.0,7,1.0,HARD_AMBIGUOUS_CASE,EASY,True
BT-000198,TND-000050,BID-001187,2025-12-26,SUBMITTED,ACTIVE,198841100.0,7,1.0,MINOR_ISSUES,EASY,True
BT-000199,TND-000051,BID-001666,2025-08-13,SUBMITTED,ACTIVE,226179200.0,5,0.833,FULLY_COMPLIANT,HARD,True
BT-000200,TND-000051,BID-001637,2025-08-13,SUBMITTED,ACTIVE,181458300.0,4,0.667,MISSING_DOCUMENT,HARD,True
BT-000201,TND-000051,BID-001969,2025-08-13,SUBMITTED,ACTIVE,191205600.0,5,0.833,MINOR_ISSUES,HARD,True
BT-000206,TND-000053,BID-001044,2026-10-07,SUBMITTED,ACTIVE,220698100.0,6,1.0,INSUFFICIENT_EVIDENCE,HARD,True
BT-000207,TND-000053,BID-001199,2026-10-07,SUBMITTED,ACTIVE,242212600.0,6,1.0,PARTIAL_COMPLIANCE,HARD,True
BT-000208,TND-000053,BID-001220,2026-10-07,SUBMITTED,ACTIVE,211741600.0,5,0.833,HARD_AMBIGUOUS_CASE,HARD,True
BT-000209,TND-000053,BID-001937,2026-10-07,SUBMITTED,ACTIVE,187106600.0,5,0.833,PARTIAL_COMPLIANCE,HARD,True
BT-000210,TND-000053,BID-001137,2026-10-07,SUBMITTED,ACTIVE,250883600.0,4,0.667,INVALID_DOCUMENT,HARD,True
BT-000211,TND-000054,BID-000774,2026-06-03,SUBMITTED,ACTIVE,147621000.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000212,TND-000054,BID-001619,2026-06-03,SUBMITTED,ACTIVE,155174300.0,7,1.0,FULLY_COMPLIANT,EASY,True
BT-000213,TND-000054,BID-000754,2026-06-03,SUBMITTED,ACTIVE,132941000.0,6,0.857,FULLY_COMPLIANT,EASY,True
BT-000214,TND-000054,BID-000198,2026-06-03,SUBMITTED,ACTIVE,140792400.0,6,0.857,EXPIRED_DOCUMENT,EASY,True
BT-000215,TND-000055,BID-001813,2025-05-25,SUBMITTED,ACTIVE,137130200.0,6,1.0,INVALID_DOCUMENT,EASY,True
BT-000216,TND-000055,BID-000847,2025-05-25,SUBMITTED,ACTIVE,127749500.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000217,TND-000055,BID-000578,2025-05-25,SUBMITTED,ACTIVE,156083400.0,6,1.0,INVALID_DOCUMENT,EASY,True
BT-000218,TND-000055,BID-001319,2025-05-25,SUBMITTED,ACTIVE,130236100.0,5,0.833,MINOR_ISSUES,EASY,True
BT-000222,TND-000057,BID-000907,2026-01-01,SUBMITTED,ACTIVE,60389900.0,6,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000223,TND-000057,BID-000262,2026-01-01,SUBMITTED,ACTIVE,58764500.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000224,TND-000057,BID-000063,2026-01-01,SUBMITTED,ACTIVE,54733400.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000225,TND-000057,BID-000283,2026-01-01,SUBMITTED,ACTIVE,59368000.0,5,0.833,INVALID_DOCUMENT,MEDIUM,True
BT-000226,TND-000057,BID-000294,2026-01-01,SUBMITTED,ACTIVE,54515200.0,6,1.0,MINOR_ISSUES,MEDIUM,True
BT-000234,TND-000060,BID-000007,2026-02-15,SUBMITTED,ACTIVE,167923900.0,6,1.0,INSUFFICIENT_EVIDENCE,HARD,True
BT-000235,TND-000060,BID-000626,2026-02-15,SUBMITTED,ACTIVE,201529900.0,6,1.0,PARTIAL_COMPLIANCE,HARD,True
BT-000236,TND-000060,BID-000188,2026-02-15,SUBMITTED,ACTIVE,163159700.0,6,1.0,PARTIAL_COMPLIANCE,HARD,True
BT-000241,TND-000062,BID-001598,2026-06-27,SUBMITTED,ACTIVE,14942200.0,7,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000242,TND-000062,BID-001316,2026-06-27,SUBMITTED,ACTIVE,12549600.0,6,0.857,FULLY_COMPLIANT,MEDIUM,True
BT-000243,TND-000062,BID-000201,2026-06-27,SUBMITTED,ACTIVE,15690000.0,6,0.857,EXPIRED_DOCUMENT,MEDIUM,True
BT-000244,TND-000062,BID-000988,2026-06-27,SUBMITTED,ACTIVE,11741700.0,6,0.857,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000250,TND-000064,BID-000996,2025-12-06,SUBMITTED,ACTIVE,82259100.0,5,0.833,FULLY_COMPLIANT,HARD,True
BT-000251,TND-000064,BID-001445,2025-12-06,SUBMITTED,ACTIVE,87453600.0,6,1.0,INSUFFICIENT_EVIDENCE,HARD,True
